Fecha,Hora,Vel. Viento (m/s),Direccion Viento
27-05-2021,00:00,1.1,32
27-05-2021,00:10,0.8,34
27-05-2021,00:20,0.5,33
27-05-2021,00:30,0.4,352
27-05-2021,00:40,0.3,313
27-05-2021,00:50,0.3,30
27-05-2021,01:00,0.7,16
27-05-2021,01:10,1.1,0
27-05-2021,01:20,1.4,352
27-05-2021,01:30,1.5,352
27-05-2021,01:40,1.5,357
27-05-2021,01:50,1.5,5
27-05-2021,02:00,1.5,23
27-05-2021,02:10,1.8,42
27-05-2021,02:20,2.2,47
27-05-2021,02:30,2.5,44
27-05-2021,02:40,2.6,42
27-05-2021,02:50,2.4,44
27-05-2021,03:00,2.1,52
27-05-2021,03:10,1.8,68
27-05-2021,03:20,1.6,93
27-05-2021,03:30,1.6,122
27-05-2021,03:40,1.8,147
27-05-2021,03:50,2.2,167
27-05-2021,04:00,2.6,181
27-05-2021,04:10,2.7,193
27-05-2021,04:20,2.7,207
27-05-2021,04:30,2.7,216
27-05-2021,04:40,2.7,218
27-05-2021,04:50,2.5,214
27-05-2021,05:00,2.2,211
27-05-2021,05:10,1.8,208
27-05-2021,05:20,1.4,209
27-05-2021,05:30,1.0,215
27-05-2021,05:40,0.8,227
27-05-2021,05:50,0.7,246
27-05-2021,06:00,0.6,280
27-05-2021,06:10,0.6,319
27-05-2021,06:20,0.6,334
27-05-2021,06:30,0.6,331
27-05-2021,06:40,0.5,320
27-05-2021,06:50,0.4,184
27-05-2021,07:00,0.5,137
27-05-2021,07:10,0.7,130
27-05-2021,07:20,0.8,128
27-05-2021,07:30,0.8,130
27-05-2021,07:40,0.7,134
27-05-2021,07:50,0.5,141
27-05-2021,08:00,0.4,164
27-05-2021,08:10,0.4,215
27-05-2021,08:20,0.5,252
27-05-2021,08:30,0.7,265
27-05-2021,08:40,0.8,261
27-05-2021,08:50,0.9,234
27-05-2021,09:00,1.2,198
27-05-2021,09:10,1.7,175
27-05-2021,09:20,2.2,155
27-05-2021,09:30,2.4,141
27-05-2021,09:40,2.4,134
27-05-2021,09:50,2.4,130
27-05-2021,10:00,2.3,131
27-05-2021,10:10,2.3,135
27-05-2021,10:20,2.4,138
27-05-2021,10:30,2.6,137
27-05-2021,10:40,2.6,139
27-05-2021,10:50,2.5,146
27-05-2021,11:00,2.5,154
27-05-2021,11:10,2.4,167
27-05-2021,11:20,2.4,183
27-05-2021,11:30,2.5,192
27-05-2021,11:40,2.9,196
27-05-2021,11:50,3.3,197
27-05-2021,12:00,3.5,196
27-05-2021,12:10,3.5,195
27-05-2021,12:20,3.4,195
27-05-2021,12:30,3.4,192
27-05-2021,12:40,3.4,190
27-05-2021,12:50,3.3,190
27-05-2021,13:00,3.1,192
27-05-2021,13:10,2.8,194
27-05-2021,13:20,2.7,194
27-05-2021,13:30,2.7,192
27-05-2021,13:40,2.8,189
27-05-2021,13:50,3.0,188
27-05-2021,14:00,3.1,188
27-05-2021,14:10,3.1,189
27-05-2021,14:20,3.1,189
27-05-2021,14:30,3.1,190
27-05-2021,14:40,3.2,189
27-05-2021,14:50,3.3,188
27-05-2021,15:00,3.3,186
27-05-2021,15:10,3.4,185
27-05-2021,15:20,3.3,183
27-05-2021,15:30,3.3,182
27-05-2021,15:40,3.3,180
27-05-2021,15:50,3.2,179
27-05-2021,16:00,3.1,179
27-05-2021,16:10,3.0,178
27-05-2021,16:20,2.9,178
27-05-2021,16:30,2.8,179
27-05-2021,16:40,2.8,181
27-05-2021,16:50,2.8,184
27-05-2021,17:00,2.9,187
27-05-2021,17:10,3.1,189
27-05-2021,17:20,3.3,190
27-05-2021,17:30,3.6,189
27-05-2021,17:40,3.8,185
27-05-2021,17:50,3.7,181
27-05-2021,18:00,3.2,179
27-05-2021,18:10,2.4,182
27-05-2021,18:20,1.3,199
27-05-2021,18:30,0.7,266
27-05-2021,18:40,0.8,292
