Fecha,Hora,Vel. Viento (km/h),Direccion Viento,Direccion Viento (letra),Precipitacion (mm),Temperatura,HR,Riesgo
27-05-2021,00:00,2.0,12,N,0.0,16.0,26,Bajo
27-05-2021,01:00,4.5,6,N,0.0,15.6,25,Bajo
27-05-2021,02:00,7.7,29,NE,0.0,15.1,27,Bajo
27-05-2021,03:00,6.7,53,NE,0.0,15.0,26,Bajo
27-05-2021,04:00,9.5,266,O,0.0,14.2,29,Bajo
27-05-2021,05:00,4.6,240,SO,0.0,13.3,31,Bajo
27-05-2021,06:00,1.9,276,O,0.0,13.6,29,Bajo
27-05-2021,07:00,2.3,4,N,0.0,13.6,26,Bajo
27-05-2021,08:00,2.2,24,NE,0.0,14.3,24,Bajo
27-05-2021,09:00,7.4,17,N,0.0,16.0,25,Bajo
27-05-2021,10:00,8.9,22,N,0.0,18.1,23,Bajo
27-05-2021,11:00,9.6,235,SO,0.0,19.5,21,Bajo
27-05-2021,12:00,12.2,231,SO,0.0,20.4,21,Bajo
27-05-2021,13:00,10.3,224,SO,0.0,21.0,20,Bajo
27-05-2021,14:00,11.3,229,SO,0.0,21.1,21,Bajo
27-05-2021,15:00,11.9,228,SO,0.0,20.6,24,Bajo
27-05-2021,16:00,10.4,222,SO,0.0,19.6,26,Bajo
27-05-2021,17:00,12.1,215,SO,0.0,17.2,34,Bajo
27-05-2021,18:00,5.6,195,S,0.0,15.7,42,Bajo
27-05-2021,19:00,3.2,186,S,0.0,15.0,47,Bajo
27-05-2021,20:00,6.1,151,SE,0.0,14.0,55,Bajo
27-05-2021,21:00,7.3,316,NO,0.0,13.8,59,Bajo
27-05-2021,22:00,6.7,196,S,0.0,13.0,66,Bajo
27-05-2021,23:00,10.1,161,S,0.0,12.7,67,Bajo
28-05-2021,00:00,4.3,185,S,0.0,13.0,64,Bajo
28-05-2021,01:00,6.6,233,SO,0.0,11.2,75,Bajo
28-05-2021,02:00,4.0,200,S,0.0,11.0,75,Bajo
28-05-2021,03:00,2.5,197,S,0.0,10.9,74,Bajo
28-05-2021,04:00,2.9,210,SO,0.0,10.6,75,Bajo
28-05-2021,05:00,2.2,29,NE,0.0,10.4,75,Bajo
28-05-2021,06:00,3.3,345,N,0.0,10.0,76,Bajo
